"Date","Video Views","Profile Views","Likes","Comments","Shares"
"23 July","442","6","28","1","2"
"24 July","957","6","71","2","11"
"25 July","1308","16","99","7","35"
"26 July","1062","11","53","7","7"
"27 July","2430","20","156","19","41"
"28 July","956","10","44","7","15"
"29 July","605","4","41","3","4"
"30 July","442","3","24","1","5"
"31 July","418","7","34","1","8"
"1 August","192","2","9","0","0"
"2 August","585","7","47","2","4"
"3 August","425","6","13","0","2"
"4 August","457","1","21","3","1"
"5 August","439","3","22","2","3"
"6 August","425","1","16","1","1"
"7 August","388","3","21","1","0"
"8 August","894","5","26","2","3"
"9 August","430","5","13","0","2"
"10 August","378","1","13","4","2"
"11 August","559","4","37","3","4"
"12 August","864","12","24","16","2"
"13 August","384","4","7","0","3"
"14 August","428","2","18","0","2"
"15 August","876","1","37","2","1"
"16 August","447","2","18","1","0"
"17 August","880","5","24","1","0"
"18 August","933","7","31","0","0"
"19 August","150","1","3","0","0"
